username,tweet
DesaJamhari,@detikcom Jangan salah seperti 2x pencalonan gub Jabar. Rakyat tak peduli dg kekerabatan atau kedekatan personal calon. Hitung yg cerdas matang bijak dan rasional perjuangkan bersama habis²an tak kalah power oleh pihak lawan. Jabar lumbung pak Prabowo 😄😄🤭
galihholic_23,@sulaimanariefst @gibran_tweet ya trus napeeeee ???? sirik aja .. kasihan prabowo kalah 2 kali 🤣🤣🤣🤣
Orangbiasaajeh,@florieliciouss @prabowo @bengkeldodo Saya izinkan... tapi maaf saya gak ikutan🙏
habiburokhman,"malming nonton film Adagium dengan pimpinan, Insya allah Pak Prabowo jadi Presiden 2024  https://t.co/bJrmrHH3Fk"
bedarmanto,"Si Bungsu nanya ""beh..th depan aku ikut pemilu ya?""  ""Benar. Emang kamu mau pilih siapa?"" saya nanya..""Pak Ganjar"" jawabnya ""Kenapa bkn Prabowo?"" Lanjut saya.. ""Ga mau entar disuruh wamil."" Katanya.  ""Kalau Anies?""  Jawabnya ""Ogah. Mukanya jelek. Tampangnya kaya penipu."""
eurekaa1982,"Survei SPIN: Elektabilitas Prabowo Subianto Masih Teratas, Ganjar dan Anies Bersaing Ketat   https://t.co/gcufraFeL1"
ch_chotimah2,"Pengakuan Prabowo ini bukti jika cebong itu pintar memilih pemimpin.  Sdngkan pengakuan kadrun soal Prabowo, seperti pengkhianat dll, bukti jika kadrun itu bodoh memilih pemimpin, Krn Prabowo capres pilihan mereka.  2024 silahkan rakyat memilih, mau ikut yg pintar atau yg bodoh??  https://t.co/4LsUkSZ48M"
Reilly_Prabowo,@VultureGMI @ChungosNFT @Burpss88
OposisiCerdas,"Relawan Jokowi Tolak Dukung Capres Usungan PDIP dan Pilih Prabowo, Hasto Sebut Kedelai dan Tempe  https://t.co/UuJaaKq7XD"
Dilan_Radith,"@ch_chotimah2 @aniesbaswedan @abu_waras @Yurissa_Samosir @ganjarpranowo @03__nakula @Aryprasetyo85 @FayaAtika @Urrangawak Jajang mending lu ikut Noel dukung Prabowo. Ngapain dukung Ganjar rugi, gak laku. Kalo lu pinter ya dukung Pak @aniesbaswedan ."
naresnarr,"After all betrayals and unfairness, I don't understand what on Earth I'm still kind. I hope this is a strength that God has given to me."
sumitra73006385,@Dennysiregar7 Deni ganjar..noel sama abu janda ke prabowo..loe gk jadi gelar tiker ..dikeroyok..🤣🤣🤣🤣🤣
JHPrabowo,@KangSemproel @zahnovi 🙏😃
naresnarr,My heart was broken into pieces but don't ever dare to ask for trust because no one can ever fixed the broken pieces of me.  You've lost me the person who love you the most.
Reilly_Prabowo,@jpgPapiii @quirkiesnft @tooneysoprano Finally! 😂
habiburokhman,kian hari kian panjnag gerbong pendukung Pak @prabowo    https://t.co/KM3VxHhhr7
AdrianWicakso15,"Momen Bapak Prabowo Subianto ketika kembali mengunjungi posko pengungsian korban bencana alam gempa di pos dapur lapangan Kopassus/ TNI AD Cianjur ( Rabu, 7 Desember 2022 ).  Dan untuk seluruh korban jangan menyerah, jangan bersedih dan berputus asa, semoga apa yang menimpa in..."
